# Sim-Array =
4 0.2860388 
5 0.27579868 
6 0.21068314 
7 0.20592193 
8 0.21169509 
9 0.17310894 
10 0.22827168 
11 0.20762047 
12 0.20037155 
13 0.12413221 
14 0.1792772 
15 0.1173507 
16 0.10060041 
17 0.10357099 
18 0.114983276 
19 0.051116303 
20 0.029160593 
21 0.0 
22 0.112833865 
23 0.17214805 
24 0.16081688 
25 0.22262101 
26 0.22613351 
27 0.24896602 
28 0.15842137 
29 0.19825442 
30 0.17588162 
31 0.24896602 
32 0.19189289 
33 0.21783246 
34 0.19245009 
35 0.16852346 
36 0.19103543 
37 0.15518805 
38 0.13598002 
39 0.13860399 
40 0.16381745 
41 0.23732223 
42 0.23584905 
43 0.17934108 
44 0.14242503 
45 0.10059791 
